Order ID,Order Date,Customer ID,Customer Name,Product ID,Product Name,Category,Region,Quantity,Unit Price,Revenue,Profit
ORD-2026-10001,2026-04-27,CUST-0281,Nancy Sanchez,PROD-HK-004,Ergonomic Memory Foam Pillow,Home & Kitchen,South,2,39.99,79.98,36.93
ORD-2025-10002,2025-11-11,CUST-1172,Jessica Perez,PROD-BK-003,Healthy Eats: 100 Recipes (Cookbook),Books,South,3,29.99,89.97,-11.85
ORD-2024-10003,2024-12-12,CUST-0162,Donald Wilson,PROD-SO-001,Eco-Friendly Yoga Mat,Sports & Outdoors,East,10,39.99,399.9,204.68
ORD-2024-10004,2024-10-30,CUST-0341,Robert Perez,PROD-SO-001,Eco-Friendly Yoga Mat,Sports & Outdoors,West,1,39.99,39.99,18.29
ORD-2024-10005,2024-12-09,CUST-0864,William Clark,PROD-SO-001,Eco-Friendly Yoga Mat,Sports & Outdoors,North,3,39.99,119.97,62.21
ORD-2025-10006,2025-12-05,CUST-1180,Karen Taylor,PROD-SO-001,Eco-Friendly Yoga Mat,Sports & Outdoors,East,5,39.99,199.95,108.51
ORD-2025-10007,2025-09-07,CUST-0268,Joseph Thompson,PROD-BK-004,Whispers in the Dark (Mystery Thriller),Books,West,1,14.99,14.99,9.51
ORD-2024-10008,2024-07-14,CUST-0352,Donald Wilson,PROD-AP-005,Pack of Athletic Socks,Apparel,North,1,14.99,14.99,9.44
ORD-2024-10009,2024-07-04,CUST-0389,Richard Robinson,PROD-SO-003,4-Person Instant Camping Tent,Sports & Outdoors,North,1,179.99,179.99,50.15
ORD-2024-10010,2024-04-16,CUST-0445,Nancy Sanchez,PROD-HK-001,Digital Air Fryer,Home & Kitchen,North,2,129.99,259.98,78.85
ORD-2025-10011,2025-09-06,CUST-0420,Richard Sanchez,PROD-EL-001,Smartphone X1,Electronics,East,2,850.0,1700.0,-256.42
ORD-2025-10012,2025-11-28,CUST-0718,Mary Williams,PROD-SO-005,Heavy Duty Resistance Bands,Sports & Outdoors,North,1,19.99,19.99,11.53
ORD-2024-10013,2024-09-27,CUST-1181,Christopher Brown,PROD-HK-002,Programmable Drip Coffee Maker,Home & Kitchen,North,2,79.99,159.98,57.63
ORD-2024-10014,2024-01-22,CUST-0797,Jane Martinez,PROD-SO-002,Insulated Stainless Water Bottle,Sports & Outdoors,South,1,34.99,34.99,18.17
ORD-2024-10015,2024-03-30,CUST-1396,Lisa Davis,PROD-HK-002,Programmable Drip Coffee Maker,Home & Kitchen,North,3,79.99,239.97,47.74
ORD-2026-10016,2026-05-06,CUST-1302,Elizabeth White,PROD-SO-001,Eco-Friendly Yoga Mat,Sports & Outdoors,East,1,39.99,39.99,21.72
ORD-2024-10017,2024-10-29,CUST-0243,Joseph Hernandez,PROD-SO-004,Adjustable Dumbbells Set,Sports & Outdoors,South,2,299.99,599.98,109.75
ORD-2025-10018,2025-12-01,CUST-0095,Jane Gonzalez,PROD-EL-003,Noise-Canceling Headphones,Electronics,North,1,199.99,199.99,29.51
ORD-2025-10019,2025-08-08,CUST-1584,Charles Martinez,PROD-BK-003,Healthy Eats: 100 Recipes (Cookbook),Books,South,1,29.99,29.99,17.06
ORD-2025-10020,2025-01-02,CUST-0155,Barbara Lopez,PROD-AP-001,Premium Denim Jacket,Apparel,East,2,89.99,179.98,74.02
ORD-2024-10021,2024-08-01,CUST-0273,Susan Moore,PROD-AP-003,Lightweight Running Shoes,Apparel,South,1,119.99,119.99,40.55
ORD-2024-10022,2024-05-10,CUST-0046,Charles Thomas,PROD-HK-005,Smart Robot Vacuum,Home & Kitchen,East,1,349.99,349.99,78.03
ORD-2025-10023,2025-08-01,CUST-1140,Richard Moore,PROD-HK-004,Ergonomic Memory Foam Pillow,Home & Kitchen,South,4,39.99,159.96,69.29
ORD-2025-10024,2025-12-05,CUST-1062,Margaret Davis,PROD-AP-004,Classic Fit Chinos,Apparel,East,1,49.99,49.99,19.43
ORD-2025-10025,2025-08-23,CUST-1774,Robert Lopez,PROD-HK-004,Ergonomic Memory Foam Pillow,Home & Kitchen,West,3,39.99,119.97,52.46
ORD-2025-10026,2025-05-21,CUST-1596,Michael Martin,PROD-HK-004,Ergonomic Memory Foam Pillow,Home & Kitchen,South,1,39.99,39.99,16.83
ORD-2024-10027,2024-02-16,CUST-0747,Lisa Lopez,PROD-SO-001,Eco-Friendly Yoga Mat,Sports & Outdoors,East,1,39.99,39.99,21.43
ORD-2026-10028,2026-05-07,CUST-0676,Mary Harris,PROD-AP-005,Pack of Athletic Socks,Apparel,North,1,14.99,14.99,9.41
ORD-2025-10029,2025-12-20,CUST-0525,Richard Wilson,PROD-EL-001,Smartphone X1,Electronics,North,10,850.0,8500.0,1091.32
ORD-2024-10030,2024-10-26,CUST-0277,Mark Thomas,PROD-EL-005,Wireless Charging Dock,Electronics,East,1,49.99,49.99,18.44
ORD-2026-10031,2026-05-16,CUST-0258,Anthony Smith,PROD-AP-001,Premium Denim Jacket,Apparel,West,3,89.99,269.97,122.54
ORD-2025-10032,2025-07-21,CUST-0249,Linda Johnson,PROD-SO-004,Adjustable Dumbbells Set,Sports & Outdoors,North,10,299.99,2999.9,557.82
ORD-2025-10033,2025-07-06,CUST-0222,Thomas Rodriguez,PROD-BK-002,Exponential Growth (Business Guide),Books,West,1,24.99,24.99,15.26
ORD-2025-10034,2025-11-17,CUST-0446,Elizabeth Lee,PROD-HK-002,Programmable Drip Coffee Maker,Home & Kitchen,West,2,79.99,159.98,56.11
ORD-2025-10035,2025-12-28,CUST-0533,Lisa Brown,PROD-BK-003,Healthy Eats: 100 Recipes (Cookbook),Books,South,2,29.99,59.98,34.06
ORD-2025-10036,2025-09-02,CUST-1727,Michael Wilson,PROD-SO-002,Insulated Stainless Water Bottle,Sports & Outdoors,North,1,34.99,34.99,17.86
ORD-2024-10037,2024-05-17,CUST-1058,Sarah Davis,PROD-AP-002,Organic Cotton Hoodie,Apparel,North,1,59.99,59.99,30.39
ORD-2024-10038,2024-11-30,CUST-1774,Robert Lopez,PROD-AP-004,Classic Fit Chinos,Apparel,West,1,49.99,49.99,18.16
ORD-2026-10039,2026-04-04,CUST-0676,Mary Harris,PROD-BK-002,Exponential Growth (Business Guide),Books,North,2,24.99,49.98,13.43
ORD-2024-10040,2024-08-18,CUST-0826,Michael Martin,PROD-EL-002,Ultrabook Air,Electronics,West,2,1200.0,2400.0,253.99
ORD-2024-10041,2024-12-26,CUST-0566,Jane Davis,PROD-BK-004,Whispers in the Dark (Mystery Thriller),Books,South,1,14.99,14.99,11.29
ORD-2025-10042,2025-02-20,CUST-0346,Jane Garcia,PROD-EL-003,Noise-Canceling Headphones,Electronics,North,1,199.99,199.99,34.37
ORD-2025-10043,2025-02-27,CUST-0265,Anthony Clark,PROD-HK-003,10-Piece Stainless Steel Cookware Set,Home & Kitchen,West,4,249.99,999.96,253.5
ORD-2025-10044,2025-07-30,CUST-1694,Donald Taylor,PROD-BK-004,Whispers in the Dark (Mystery Thriller),Books,West,1,14.99,14.99,10.81
ORD-2026-10045,2026-04-16,CUST-1774,Robert Lopez,PROD-EL-005,Wireless Charging Dock,Electronics,West,2,49.99,99.98,38.3
ORD-2024-10046,2024-09-02,CUST-0088,Karen Jones,PROD-AP-005,Pack of Athletic Socks,Apparel,South,1,14.99,14.99,9.56
ORD-2024-10047,2024-05-10,CUST-0274,Lisa Lopez,PROD-HK-004,Ergonomic Memory Foam Pillow,Home & Kitchen,East,3,39.99,119.97,58.17
ORD-2024-10048,2024-07-25,CUST-0770,Sandra Williams,PROD-EL-005,Wireless Charging Dock,Electronics,North,4,49.99,199.96,69.14
ORD-2026-10049,2026-03-02,CUST-0353,Nancy Rodriguez,PROD-AP-001,Premium Denim Jacket,Apparel,East,1,89.99,89.99,38.72
ORD-2025-10050,2025-08-25,CUST-0659,David Anderson,PROD-AP-002,Organic Cotton Hoodie,Apparel,West,1,59.99,59.99,30.61
ORD-2024-10051,2024-10-19,CUST-0246,Ashley Gonzalez,PROD-EL-002,Ultrabook Air,Electronics,East,1,1200.0,1200.0,115.93
ORD-2025-10052,2025-12-31,CUST-0825,Margaret Thomas,PROD-EL-004,Smart Fitness Watch,Electronics,South,1,249.99,249.99,49.79
ORD-2026-10053,2026-02-07,CUST-0492,Robert Clark,PROD-SO-002,Insulated Stainless Water Bottle,Sports & Outdoors,West,1,34.99,34.99,18.9
ORD-2026-10054,2026-01-25,CUST-0628,Barbara Moore,PROD-AP-001,Premium Denim Jacket,Apparel,South,2,89.99,179.98,43.49
ORD-2026-10055,2026-03-28,CUST-0184,Susan Wilson,PROD-AP-005,Pack of Athletic Socks,Apparel,East,1,14.99,14.99,-2.35
ORD-2024-10056,2024-09-14,CUST-0779,Robert Johnson,PROD-EL-002,Ultrabook Air,Electronics,North,1,1200.0,1200.0,112.32
ORD-2025-10057,2025-11-22,CUST-1767,Jane Jones,PROD-BK-005,Focus: The Art of Concentration (Self-Help),Books,North,2,19.99,39.98,26.7
ORD-2025-10058,2025-03-19,CUST-0574,Charles Moore,PROD-HK-001,Digital Air Fryer,Home & Kitchen,North,2,129.99,259.98,79.66
ORD-2026-10059,2026-01-21,CUST-1579,Susan Rodriguez,PROD-BK-004,Whispers in the Dark (Mystery Thriller),Books,North,1,14.99,14.99,11.19
ORD-2025-10060,2025-11-05,CUST-1513,Barbara Rodriguez,PROD-SO-002,Insulated Stainless Water Bottle,Sports & Outdoors,South,2,34.99,69.98,40.96
